Ticket id,Interaction id,Interaction date,Mailbox,Ticket Summary,Interaction content,Innso TYPOLOGY_TICKET ,Type 1,Type 2,Type 3,Type 4
23555,65977,,support.pt@aspiegel.com,appgallery problemas e sugestões,"descrição não compreendo o dns nunca estar a funcionar', será que me podem ajudau??? informações de contacto *****(phone). - xxxxx@xxxx.com enviado do meu telemóveldescription i don't understand why dns is never working', can you help me? contact information *****(phone). - xxxxx@xxxx.com sent from my cell phone",AppGallery &amp; Games / Other Requests,,,,
23534,65883,,support.pt@aspiegel.com,appgallery probleme und vorschläge,beschreibung komit lässt sich nich installieren. kontaktinformationen xxxxx@xxxx.com von meinem huawei-telefon gesendet,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23477,65661,,support.pt@aspiegel.com,appgallery problems and suggestions,"huawi health on mon, 5 sept *****(phone), 1:40 pm , wrote: hi, we appreciate your contact! our support representatives will check your message and get back to you as soon as possible. we appreciate your patience and cooperation. sincerely, aspiegel customer support team. _____________________________________ aspiegel se is a company incorporated under the laws of ireland, headquartered in dublin, ireland. aspiegel se is the huawei mobile services provider for huawei and honor device owners in europe, canada, australia, new zealand and other countries.huawi health on mon, 5 sept *****(phone), 1:40 pm , wrote: olá, agradecemos o seu contacto! nossos representantes de suporte irão verificar sua mensagem e entrar em contacto com você assim que possível. agradecemos sua paciência e colaboração. sinceramente, equipa de suporte ao cliente aspiegel. _____________________________________ a aspiegel se é uma empresa constituída de acordo com as leis da irlanda, com sede em dublin, irlanda. aspiegel se é o provedor de huawei mobile services para os proprietários de dispositivos huawei e honor na europa, canadá, austrália, nova zelândia e outros países.",AppGallery &amp; Games / Other Requests,,,,
23452,65616,,support.pt@aspiegel.com,appgallery problemas e sugestões,description can't install contact information 962 225 736 sent from my huawei cell phone.descrição não dá pra instalar informações de contacto 962 225 736 enviado do meu telemóvel huawei.,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23429,65569,,support.pt@aspiegel.com,appgallery problemas e sugestões,description does not install contact information xxxxx@xxxx.comdescrição não instala informações de contacto xxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,,,,
23395,65482,,support.pt@aspiegel.com,appgallery problemi e soluzioni,description in the area where i am (*****(loc)) there is no connection (3 fastweb devices) and we have difficulties with calls. no connection to the internet. contact information *****(phone) - *****(phone) - *****(phone) sent from my huawei tabletdescrizione nella zona in cui mi trovo (*****(loc)) non c'è connessione (3 dispositivi fastweb) ed abbiamo difficoltà con le chiamate. nessuna connessione ad internet. informazioni di contatto *****(phone) - *****(phone) - *****(phone) inviato dal mio tablet huawei,AppGallery &amp; Games / Other Requests,,,,
23230,65024,,support.pt@aspiegel.com,appgallery проблеми и предложения,description what's up contact info *****(phone) sent from my phone huaweiописание what's up информация за контакт *****(phone) изпратено от моя телефон huawei,AppGallery &amp; Games / Other Requests,,,,
23229,65022,,support.pt@aspiegel.com,appgallery проблеми и предложения,описание what's up информация за контакт *****(phone) изпратено от моя телефон huawei,AppGallery &amp; Games / Other Requests,,,,
23212,64982,,support.pt@aspiegel.com,appgallery проблеми и предложения,ok описание what's up информация за контакт *****(phone) изпратено от моя телефон huawei,AppGallery &amp; Games / Other Requests,,,,
23194,64946,,support.pt@aspiegel.com,appgallery problemer og forslag,beskrivelse installation fejl kontaktoplysninger *****(phone),AppGallery &amp; Games / Other Requests,,,,
23193,64944,,support.pt@aspiegel.com,appgallery problemer og forslag,beskrivelse installation fejl kontaktoplysninger +*****(phone) *****(per),AppGallery &amp; Games / Other Requests,,,,
23189,64938,,support.pt@aspiegel.com,appgallery проблеми и предложения,описание умолявам ви управете ги. информация за контакт xxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,,,,
23188,64936,,support.pt@aspiegel.com,appgallery проблеми и предложения,описание у. информация за контакт xxxxx@xxxx.com,AppGallery &amp; Games / Other Requests,,,,
23056,64550,44805.93403,support.pt@aspiegel.com,appgallery problems and suggestions,"description my phone data and privacy is insecure...all apps and accounts are copied and shared by third parties without my consent. i wish to report that everything used here is still not private. as we speak, i'm scared and frustrated about this issue. contact information xxxxx@xxxx.com",AppGallery &amp; Games / Report a scam or fraud ,,,,
23055,64549,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,opis brak możliwości instalacji informacje kontaktowe xxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23054,64548,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,description no installation possible contact information xxxxx@xxxx.comopis brak możliwości instalacji informacje kontaktowe xxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23052,64544,44805.88819,support.pt@aspiegel.com,appgallery sorunlar ve öneriler,açıklama yükleme yapmamaktadır. i̇letişim bilgileri 0 543 375 79 90,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23050,64542,44805.87361,support.eu@aspiegel.com,od: full refund from first day,"hello, i already sent to them e-mail twice with reminder two weeks ago, but they never replied. they fixed bug after i was impacted, and they want to shut it down to be silence as we see. i kindly asking to make a refund because of this situation. thank you for your support to making it possible. kind regards, client from: xxxxx@xxxx.com sent: wednesday, august 10, *****(phone) 2:30 pm to: xxxxx@xxxx.com subject: od: full refund from first day dear customer, we appreciate you patience, our internal team reached us back and they informed us that they suggest you to contact developer first with the proof that the products are not as advertised and if developer agrees to refund, you can provide that proof to us. you should be able to contact the customer support of the game on: https://aihelp.net/privacypolicy/ or customer service: xxxxx@xxxx.com. if you have further game issue, you also can directly contact our dedicated game operation staff through discord channel. here is the discord link (poland): https://discord.gg/tkyzc5cagu that serves your country. we would greatly appreciate your feedback regarding our email exchange, as we need your input to keep improving our service. therefore, we invite you to fill in the survey that will soon arrive on the email address you used to contact us. if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, ramon aspiegel customer support team aspiegel se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. aspiegel se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : tuesday 09 august *****(phone) 14:59 to : xxxxx@xxxx.com subject : od: full refund from first day hello, thanks you for a feedback. i perfectly understand this, but what in case when the products is not as advertised and not functioning. there is a perfect example of it. all because last big issue on devs side. thank you for a positive feedback in this situation. kind regards, wysłano z telefonu -------- *****(person) wiadomość -------- od: xxxxx@xxxx.com data: wt., 9 sie *****(phone), 14:55 do: xxxxx@xxxx.com temat: full refund from first day dear customer, we have carefully review your request and, unfortunately, we have concluded that you are not quality for a refund this time. accordingly to the walking dead user's agreement, the refund of the payments can't be provided, once the items are successfully delivered to the gamer's account. please be aware that he purchase date back to *****(phone), therefore you have used the items purchased and there is no way of recollecting them. thank you for understanding. sincerely, ramon aspiegel customer support team aspiegel se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. aspiegel se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : tuesday 09 august *****(phone) 14:31 to : xxxxx@xxxx.com subject : full refund from first day hello, i hope youre well. accordingly to twd survivors where bought products is not as advertised and not functioning. im asking for a full refund since first day. there is a no fair and bugged competition which affects the gampley, example last rzt 199 vs 204 match. regarding to all isues i kindly requesting for a full refund. in the first line below transactions: ad*****(phone)db05 01.09.*****(phone) 198, 99pln pw*****(phone)bf505 01.09.*****(phone) 393, 96pln ad*****(phone)e*****(phone) 02.09.*****(phone) 198, 99pln ad*****(phone)dc9ed05 10.09.*****(phone) 393, 96pln ad*****(phone)b*****(phone) 10.09.*****(phone) 198, 99pln ad*****(phone)bc*****(phone) 14.09.*****(phone) 393, 96pln ad*****(phone)dc7e05 14.09.*****(phone) 198, 99pln ad*****(phone)dcdac005 20.09.*****(phone) 198, 99pln ad*****(phone)edc38c05 20.09.*****(phone) 393, 96pln pw*****(phone)fcb7b05 25.09.*****(phone) 393, 96pln ad*****(phone)e905 30.10.*****(phone) 393, 96pln ad*****(phone)d61dbd05 02.11.*****(phone) 393, 96pln pw*****(phone)e721f05 03.11.*****(phone) 393, 96pln pw*****(phone)c*****(phone) 03.11.*****(phone) 393, 96pln pw*****(phone)f5a105 09.11.*****(phone) 198, 99pln h*****(phone)c7c*****(phone) 25.11.*****(phone) 198, 99pln h*****(phone)bda1f405 25.11.*****(phone) 393, 96pln pw*****(phone) 26.11.*****(phone) 393, 96pln pw*****(phone)d77b0c05 26.11. *****(phone) 198, 99pln ad*****(phone)e287ff05 01.12.*****(phone) 393, 96pln ad*****(phone)bd3cff05 24.12.*****(phone) 393, 96pln h*****(phone)be86e705 24.12.*****(phone) 198, 96pln ad*****(phone)c13f905 25.12.*****(phone) 198,99pln ad*****(phone)cb2b05 29.12.*****(phone) 393, 96pln ad*****(phone)b05 29.12.*****(phone) 198, 99pln ad*****(phone)d3b1e405 30.12.*****(phone) 393, 96pln thanks all of you for a great cooperation wysłano z telefonu huawei *****(phone) *****(phone)",AppGallery &amp; Games /  Refund request: unwanted subscription/ item/ app,,,,
23049,64540,44805.85139,support.pt@aspiegel.com,appgallery problémy a odporúčania,description failed to install update mi vydeoplayer contact information xxxxx@xxxx.comopis zlyhava inštalacia aktualizácie mi vydeoplayer kontaktné informácie xxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23047,64532,44805.83333,support.eu@aspiegel.com,unreceived huawei points,"it is ok, i don't request anything. you may close the ticket. thanks *****(person): xxxxx@xxxx.com gönderildi: 1 eylül *****(phone) perşembe 19:09 kime: xxxxx@xxxx.com konu: unreceived *****(person) dear user, thank you for contacting *****(person). we hope you’re doing well. this email is in regards to your concern about your campaign cashback 15%. to create a better game experience, we built a discord channel to update you the latest game campaign, discount activities, and also provide you direct services. we recommend you to use our discord channel. we recommend you contact us via discord channel : https://discord.gg/tkyzc5cagu from your computer desktop directly. if you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. your huawei id 2. your service country appgallery> me> settings> country 2. the name of the game app 3. the name of the campaign you participated in 4. outline how many huawei points/coupon/prize you were meant to receive 5. your discord account contact information if applicable if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, madalin *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 01 september *****(phone) 17:24 to : xxxxx@xxxx.com subject : unreceived *****(person) hello again here is the information you requested : 1. my huawei id : xxxxx@xxxx.com 2. your service country : turkey 2. the name of the game app : world of tanks blitz 3. the name of the campaign you participated in : app gallery game festival campaign (15% cashback) 4. how many huawei points/coupon i was meant to receive : about 9 tl 5. my discord account contact information : icebreaker #*****(phone) *****(person): xxxxx@xxxx.com gönderildi: 1 eylül *****(phone) perşembe 16:53 kime: xxxxx@xxxx.com konu: unreceived *****(person) dear customer, thank you for contacting *****(person). we hope you’re doing well. this email is in regards to your concern about world of tanks blitz cashback. to build better game experience, we build discord channel to update you the latest game campaign, discount activities, and provide you direct services. we recommend you to use our discord channel. please go to huawei app gallery>campaign>click any valid campaign on the list> find discord icon in the page > click the link and join. if you have any difficulties using discord or you prefer us to handling the case, will you please provide us following information for further investigation: 1. your huawei id. 2. your service country appgallery> me> settings> country. 2. the name of the game app. 3. the name of the campaign you participated in. 4. outline how many huawei points/coupon you were meant to receive. 5. your discord account contact information if applicable. if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. we would very much appreciate your feedback on our email exchange, as we need your opinion to continue to improve our service. therefore, we invite you to fill out the survey that will soon be sent to the email address you used to contact us. sincerely, *****(person). *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 01 september *****(phone) 15:32 to : xxxxx@xxxx.com subject : unreceived *****(person) hello i have recently made an in-game purchase (world of tanks blitz) but haven't received 15% *****(person) because of that purchase. my huawei account has the the same e-mail with this one. please transfer the relevant amount of huawei points into my account. best regards *****(phone) *****(phone)",AppGallery &amp; Games / Huawei points missing,,,,
23046,64531,44805.83194,support.eu@aspiegel.com,,product: appgallery & games requests: other requests contact full name: miguel losada seoane phone numbe +*****(phone) contact email address: xxxxx@xxxx.com huawei id account: xxxxx@xxxx.com summary of the issue: me enviaron una huawei scale por que gane un sorteo pero después de más de una semana no la recibí y no sé con quien me tengo que poner en contacto...un saludo home | news | events | products | partners | support copyright aspiegel se,AppGallery &amp; Games / Unable to claim the prize/points/coupons,,,,
23044,64525,44805.82222,support.pt@aspiegel.com,appgallery problemas y sugerencias,descripción tengo el celular petado y no me deja desistalar nada de nada información de contacto exxxxx@xxxx.com,AppGallery &amp; Games / Suggestions &amp; Feedback,,,,
23029,64464,44805.70347,support.eu@aspiegel.com,refund request,"i did and all they did 3 days soft ban which is ridiculous sent from my huawei phone -------- original message -------- from: xxxxx@xxxx.com date: thu, 1 sep *****(phone), 5:17 pm to: xxxxx@xxxx.com subject: refund request dear customer, we apologize for the inconvenience. we advise you to contact the developers for your refund request. thank you for your understanding. sincerely, alexandru *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 01 september *****(phone) 16:12 to : xxxxx@xxxx.com subject : refund request that is very unfortunate because i've been contacting paypal and huawei for the past few months and never gotten and reply until i found out this email. i did report it to the game developer but they decided to only soft ban those people for 3 days and let them keep whatever they gotten for illegal third party recharge, which makes the game environment unfair for us paying the full price using legit recharge platform. sent from my huawei phone -------- original message -------- from: xxxxx@xxxx.com date: thu, 1 sep *****(phone), 3:21 pm to: xxxxx@xxxx.com subject: refund request dear customer, thank you for your reply. we have checked with our internal team the huawei id and all the transactions took place more than 14 days ago, and according to our internal policy we are unable to assist you with the refund. we advise you to report it to the developers and get a feedback from their side also because we understand precisely what you mean with illegal payment. thank you for your understanding. if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, alexandru *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 01 september *****(phone) 13:52 to : xxxxx@xxxx.com subject : refund request huawei id: +*****(phone) video of charge: https://youtube.com/shorts/nppd0mzfgpg?feature=share on thu, 1 sept *****(phone) at 13:15, < xxxxx@xxxx.com> wrote: dear customer, thank you for your reply. unfortunately our internal tools do not allow access to folders from google drive. could you please send them in another format? also could you please provide us with you huawei id. thank you for your understanding and cooperation. sincerely, alexandru *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : thursday 01 september *****(phone) 08:37 to : xxxxx@xxxx.com subject : refund request screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 on wed, 31 aug *****(phone) at 20:39, < xxxxx@xxxx.com> wrote: dear customer, thank you for contacting *****(person). we hope you’re doing well. i will do my very best to assist you. this email is regarding your refund request. in order to give you the best solution, please provide us with the following information: - a screenshot or record video of the charge - your huawei id: app gallery>hms core>open then take a screenshot if you have any further questions, please feel free to reply to this email thread and we will be happy to walk you through your doubts. sincerely, alexandru *****(person) customer support team *****(person) se is a company incorporated under the laws of ireland with its headquarters in dublin, ireland. *****(person) se is the provider of huawei mobile services to huawei and honor device owners in *****(loc), canada, australia, new zealand and other countries. from : xxxxx@xxxx.com sent : wednesday 31 august *****(phone) 20:26 to : xxxxx@xxxx.com subject : refund request the game is allowing illegal third party transactions and it's not fair for players purchasing through legal and legit platforms to recharge. so i demand at least a partial refund from the app kingdom guard. *****(phone) *****(phone) *****(phone) *****(phone)",AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,,,,
